VoteKit RankProfile
Candidates
(writein:0),(Mary Merrill Anderson:1),(Nancy Bernard:2),(John Butler:3),(John Erwin:4),(Bob Fine:5),(Tom Nordyke:6),(David Wahstedt:7),(Annie Young:8)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'7'},{'5'},{'6'},&,28.0,&
{'7'},{'5'},{'0'},&,1.0,&
{'7'},{'5'},,&,113.0,&
{'7'},{'5'},{'8'},&,31.0,&
{'7'},{'0'},{'1'},&,1.0,&
{'7'},{'0'},{'4'},&,1.0,&
{'7'},{'6'},{'1'},&,16.0,&
{'7'},{'6'},{'2'},&,13.0,&
{'7'},{'6'},{'3'},&,22.0,&
{'7'},{'6'},{'4'},&,29.0,&
{'7'},{'6'},{'5'},&,34.0,&
{'7'},{'6'},,&,36.0,&
{'7'},{'6'},{'8'},&,28.0,&
{'7'},,,&,1570.0,&
{'7'},{'8'},{'1'},&,28.0,&
{'7'},{'8'},{'2'},&,22.0,&
{'7'},{'8'},{'3'},&,14.0,&
{'7'},{'8'},{'4'},&,28.0,&
{'7'},{'8'},{'5'},&,27.0,&
{'7'},{'8'},{'0'},&,1.0,&
{'7'},{'8'},{'6'},&,31.0,&
{'7'},{'8'},,&,37.0,&
{'8'},{'1'},{'2'},&,324.0,&
{'8'},{'1'},{'3'},&,19.0,&
{'8'},{'1'},{'4'},&,182.0,&
{'8'},{'1'},{'5'},&,138.0,&
{'8'},{'1'},{'0'},&,1.0,&
{'8'},{'1'},{'6'},&,158.0,&
{'8'},{'1'},{'7'},&,27.0,&
{'8'},{'1'},,&,180.0,&
{'8'},{'0'},{'1'},&,1.0,&
{'8'},{'2'},{'1'},&,516.0,&
{'8'},{'2'},{'0'},&,1.0,&
{'8'},{'2'},{'3'},&,32.0,&
{'8'},{'2'},{'4'},&,25.0,&
{'8'},{'2'},{'5'},&,75.0,&
{'8'},{'2'},{'6'},&,31.0,&
{'8'},{'2'},{'7'},&,18.0,&
{'8'},{'2'},,&,96.0,&
{'8'},{'0'},{'0'},&,6.0,&
{'8'},{'3'},{'1'},&,14.0,&
{'8'},{'3'},{'2'},&,29.0,&
{'8'},{'3'},{'4'},&,20.0,&
{'8'},{'3'},{'5'},&,33.0,&
{'8'},{'3'},{'0'},&,1.0,&
{'8'},{'3'},{'6'},&,15.0,&
{'8'},{'3'},{'7'},&,15.0,&
{'8'},{'3'},,&,23.0,&
{'8'},{'0'},,&,11.0,&
{'8'},{'4'},{'1'},&,318.0,&
{'8'},{'4'},{'2'},&,41.0,&
{'8'},{'4'},{'3'},&,19.0,&
{'8'},{'4'},{'5'},&,85.0,&
{'8'},{'4'},{'0'},&,4.0,&
{'8'},{'4'},{'6'},&,485.0,&
{'8'},{'4'},{'7'},&,31.0,&
{'8'},{'4'},,&,327.0,&
{'8'},{'5'},{'1'},&,139.0,&
{'8'},{'5'},{'2'},&,92.0,&
{'8'},{'5'},{'3'},&,37.0,&
{'8'},{'5'},{'0'},&,2.0,&
{'8'},{'5'},{'4'},&,69.0,&
{'8'},{'5'},{'6'},&,74.0,&
{'8'},{'5'},{'7'},&,29.0,&
{'8'},{'5'},,&,230.0,&
{'8'},{'0'},{'5'},&,1.0,&
{'8'},{'6'},{'1'},&,153.0,&
{'8'},{'6'},{'2'},&,35.0,&
{'8'},{'6'},{'3'},&,17.0,&
{'8'},{'6'},{'0'},&,2.0,&
{'8'},{'6'},{'4'},&,244.0,&
{'8'},{'6'},{'5'},&,92.0,&
{'8'},{'6'},{'7'},&,45.0,&
{'8'},{'6'},,&,135.0,&
{'8'},{'7'},{'1'},&,25.0,&
{'8'},{'7'},{'2'},&,24.0,&
{'8'},{'7'},{'3'},&,17.0,&
{'8'},{'7'},{'4'},&,22.0,&
{'8'},{'7'},{'5'},&,23.0,&
{'8'},{'7'},{'6'},&,27.0,&
{'8'},{'7'},,&,41.0,&
{'8'},,,&,2065.0,&
