VoteKit RankProfile
Candidates
(Meg Forney:0),(Mary McKelvey:1),(Alicia D. Smith:2),(Charles Rucker:3),(Katherine Kelly:4),(Tom Olsen:5),(Londel French:6),(overvote:7),(writein:8)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'1'},{'6'},{'1'},&,5.0,&
{'5'},{'8'},{'3'},&,1.0,&
{'8'},{'4'},{'5'},&,1.0,&
{'3'},{'1'},{'3'},&,4.0,&
{'3'},{'3'},{'2'},&,8.0,&
{'3'},{'6'},{'8'},&,5.0,&
{'5'},{'4'},{'8'},&,2.0,&
{'4'},{'6'},{'6'},&,1.0,&
{'5'},{'0'},{'5'},&,7.0,&
{'0'},{'8'},{'3'},&,1.0,&
{'8'},{'3'},,&,1.0,&
{'8'},{'8'},{'2'},&,2.0,&
{'6'},{'5'},{'5'},&,1.0,&
{'3'},{'3'},{'6'},&,3.0,&
{'4'},{'4'},{'1'},&,1.0,&
{'4'},{'3'},{'3'},&,1.0,&
{'3'},{'2'},{'7'},&,2.0,&
{'8'},{'5'},{'2'},&,1.0,&
{'2'},{'2'},{'8'},&,1.0,&
{'2'},{'1'},{'8'},&,3.0,&
{'8'},{'4'},{'3'},&,1.0,&
{'2'},{'2'},{'4'},&,10.0,&
{'6'},{'6'},{'2'},&,3.0,&
{'4'},{'7'},,&,1.0,&
{'3'},{'8'},{'8'},&,14.0,&
{'4'},{'2'},{'8'},&,1.0,&
{'6'},{'4'},{'4'},&,2.0,&
{'4'},{'0'},{'8'},&,3.0,&
{'1'},{'4'},{'7'},&,1.0,&
{'8'},{'5'},{'3'},&,2.0,&
{'8'},{'2'},{'5'},&,2.0,&
{'4'},{'8'},{'5'},&,2.0,&
{'4'},{'5'},{'5'},&,6.0,&
{'6'},{'7'},{'6'},&,1.0,&
{'6'},{'6'},{'1'},&,2.0,&
{'6'},{'8'},{'2'},&,2.0,&
{'1'},{'5'},{'5'},&,4.0,&
{'8'},{'3'},{'5'},&,1.0,&
{'0'},{'5'},{'0'},&,5.0,&
{'3'},{'3'},{'5'},&,3.0,&
{'5'},{'1'},{'5'},&,5.0,&
{'7'},{'5'},{'6'},&,1.0,&
{'5'},{'2'},{'2'},&,3.0,&
{'3'},{'8'},{'0'},&,1.0,&
{'0'},{'4'},{'4'},&,1.0,&
{'2'},{'2'},{'0'},&,7.0,&
{'0'},{'0'},{'4'},&,4.0,&
{'5'},{'5'},{'2'},&,3.0,&
{'7'},{'4'},{'0'},&,1.0,&
{'5'},{'6'},{'7'},&,1.0,&
{'6'},{'3'},{'6'},&,5.0,&
{'0'},{'8'},{'6'},&,1.0,&
{'1'},{'3'},{'1'},&,3.0,&
{'3'},{'0'},{'3'},&,5.0,&
{'0'},{'6'},{'8'},&,2.0,&
{'1'},{'2'},{'8'},&,2.0,&
{'5'},{'8'},,&,6.0,&
{'8'},{'3'},{'1'},&,2.0,&
{'0'},{'5'},{'5'},&,3.0,&
{'1'},{'8'},{'5'},&,1.0,&
{'8'},{'6'},{'0'},&,1.0,&
{'5'},{'5'},{'4'},&,2.0,&
{'5'},{'1'},{'1'},&,4.0,&
{'4'},{'7'},{'7'},&,1.0,&
{'0'},{'0'},{'3'},&,4.0,&
{'1'},{'1'},{'6'},&,2.0,&
{'6'},{'5'},{'6'},&,1.0,&
