VoteKit RankProfile
Candidates
(Meg Forney:0),(Latrisha Vetaw:1),(Devin Hogan:2),(Mike Derus:3),(Russ Henry:4),(Londel French:5),(Jonathan Honerbrink:6),(Charlie Casserly:7),(Bob Sullentrop:8),(writein:9),(overvote:10),(Scott Vreeland:11)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'4'},{'0'},{'9'},&,4.0,&
{'0'},{'6'},{'1'},&,70.0,&
{'6'},{'8'},{'7'},&,47.0,&
{'4'},{'2'},{'3'},&,80.0,&
{'5'},{'4'},{'3'},&,90.0,&
{'5'},{'3'},{'8'},&,14.0,&
{'2'},{'7'},{'3'},&,21.0,&
{'7'},{'0'},{'2'},&,56.0,&
{'6'},{'6'},{'1'},&,3.0,&
{'0'},{'6'},{'4'},&,42.0,&
{'9'},{'0'},{'4'},&,1.0,&
{'8'},{'1'},{'3'},&,7.0,&
{'1'},{'1'},{'8'},&,1.0,&
{'1'},{'6'},,&,31.0,&
{'6'},{'7'},{'2'},&,12.0,&
{'8'},{'4'},{'6'},&,14.0,&
{'4'},{'0'},{'3'},&,134.0,&
{'8'},{'4'},{'5'},&,11.0,&
{'7'},{'3'},{'4'},&,63.0,&
{'6'},{'1'},{'0'},&,53.0,&
{'2'},{'4'},{'6'},&,25.0,&
{'0'},{'4'},{'8'},&,45.0,&
{'1'},{'5'},{'7'},&,49.0,&
{'6'},{'4'},{'1'},&,30.0,&
{'3'},{'6'},{'4'},&,47.0,&
{'3'},{'0'},{'5'},&,211.0,&
{'7'},{'1'},{'6'},&,15.0,&
{'8'},{'6'},{'4'},&,62.0,&
{'8'},{'4'},{'3'},&,36.0,&
{'7'},{'1'},{'3'},&,25.0,&
{'3'},{'2'},{'7'},&,45.0,&
{'4'},{'4'},{'0'},&,2.0,&
{'6'},{'1'},,&,23.0,&
{'8'},{'3'},{'2'},&,16.0,&
{'2'},{'0'},{'4'},&,72.0,&
{'8'},{'6'},{'7'},&,41.0,&
{'2'},{'2'},,&,10.0,&
{'4'},{'8'},{'6'},&,11.0,&
{'3'},{'0'},{'3'},&,8.0,&
