6,1,
16,5,6,1,3,2,4,
61,5,6,1,3,4,2,
1,5,6,1,4,
5,5,6,1,4,2,3,
10,5,6,1,4,3,2,
3,5,6,2,1,3,4,
4,5,6,2,1,4,3,
3,5,6,2,3,4,1,
1,5,6,2,4,1,3,
3,5,6,2,4,3,1,
12,5,6,3,
14,5,6,3,1,
1,5,6,3,1,2,
22,5,6,3,1,2,4,
1,5,6,3,1,4,
66,5,6,3,1,4,2,
2,5,6,3,2,
7,5,6,3,2,1,4,
2,5,6,3,2,4,1,
8,5,6,3,4,1,2,
1,5,6,3,4,2,
9,5,6,3,4,2,1,
10,5,6,4,
1,5,6,4,1,
1,5,6,4,1,2,
7,5,6,4,1,2,3,
6,5,6,4,1,3,2,
12,5,6,4,2,1,3,
4,5,6,4,2,3,1,
2,5,6,4,3,1,
21,5,6,4,3,1,2,
38,5,6,4,3,2,1,
2192,6,
127,6,1,
12,6,1,2,3,4,5,
1,6,1,2,3,5,
3,6,1,2,3,5,4,
3,6,1,2,4,3,5,
2,6,1,2,4,5,3,
1,6,1,2,5,
2,6,1,2,5,3,4,
2,6,1,2,5,4,3,
6,6,1,3,
6,6,1,3,2,4,5,
1,6,1,3,4,
5,6,1,3,4,2,5,
9,6,1,3,4,5,2,
4,6,1,3,5,
6,6,1,3,5,2,4,
37,6,1,3,5,4,2,
5,6,1,4,
4,6,1,4,2,3,5,
2,6,1,4,2,5,3,
1,6,1,4,3,2,
3,6,1,4,3,2,5,
4,6,1,4,3,5,2,
1,6,1,4,5,
11,6,1,4,5,3,2,
16,6,1,5,
1,6,1,5,2,
3,6,1,5,2,3,4,
4,6,1,5,2,4,3,
9,6,1,5,3,
13,6,1,5,3,2,4,
3,6,1,5,3,4,
38,6,1,5,3,4,2,
3,6,1,5,4,
3,6,1,5,4,2,3,
1,6,1,5,4,3,
13,6,1,5,4,3,2,
15,6,2,
1,6,2,1,
2,6,2,1,3,4,5,
1,6,2,1,3,5,4,
2,6,2,1,4,3,5,
1,6,2,3,1,4,5,
1,6,2,3,4,1,5,
1,6,2,3,5,4,1,
3,6,2,4,
5,6,2,4,5,1,3,
1,6,2,5,1,
1,6,2,5,1,3,4,
2,6,2,5,1,4,3,
1,6,2,5,4,1,3,
44,6,3,
3,6,3,1,
2,6,3,1,2,4,5,
4,6,3,1,4,2,5,
3,6,3,1,4,5,2,
2,6,3,1,5,
4,6,3,1,5,2,4,
1,6,3,1,5,4,
13,6,3,1,5,4,2,
1,6,3,2,
1,6,3,2,1,
1,6,3,2,1,5,4,
2,6,3,2,4,5,1,
1,6,3,2,5,4,1,
1,6,3,4,
2,6,3,4,1,2,5,
3,6,3,4,1,5,2,
1,6,3,4,2,1,5,
5,6,3,4,5,2,1,
2,6,3,5,
2,6,3,5,1,
3,6,3,5,1,2,4,
13,6,3,5,1,4,2,
1,6,3,5,2,1,4,
1,6,3,5,2,4,1,
7,6,3,5,4,1,2,
1,6,3,5,4,2,1,
64,6,4,
3,6,4,1,
6,6,4,1,2,3,5,
1,6,4,1,2,5,
3,6,4,1,2,5,3,
3,6,4,1,3,2,5,
5,6,4,1,3,5,2,
1,6,4,1,5,2,
5,6,4,1,5,2,3,
7,6,4,1,5,3,2,
2,6,4,2,
1,6,4,2,1,
