6,3,
2,6,1,4,2,3,5,
1,6,1,4,5,3,2,
8,6,1,5,
1,6,1,5,2,
3,6,1,5,2,4,3,
1,6,1,5,3,2,4,
1,6,1,5,3,4,2,
1,6,1,5,4,2,3,
95,6,2,
2,6,2,1,
1,6,2,1,3,
3,6,2,1,3,4,5,
1,6,2,1,3,5,4,
2,6,2,1,5,3,4,
1,6,2,1,5,4,3,
6,6,2,3,
1,6,2,3,1,4,5,
1,6,2,3,4,
1,6,2,3,4,1,
2,6,2,3,4,5,1,
3,6,2,3,5,1,4,
142,6,2,4,
1,6,2,4,1,
7,6,2,4,1,3,5,
1,6,2,4,1,5,
1,6,2,4,1,5,3,
1,6,2,4,3,
2,6,2,4,3,1,5,
2,6,2,4,5,
1,6,2,4,5,1,
1,6,2,4,5,1,3,
5,6,2,4,5,3,1,
8,6,2,5,
2,6,2,5,1,3,4,
1,6,2,5,3,1,4,
1,6,2,5,4,3,1,
46,6,3,
9,6,3,1,
1,6,3,1,2,4,5,
1,6,3,1,2,5,4,
2,6,3,1,4,2,5,
1,6,3,1,5,2,4,
4,6,3,2,
1,6,3,2,1,4,5,
1,6,3,2,1,5,4,
2,6,3,2,4,5,1,
1,6,3,2,5,
1,6,3,2,5,1,
1,6,3,2,5,1,4,
2,6,3,2,5,4,1,
2,6,3,4,
1,6,3,4,2,1,5,
3,6,3,4,2,5,1,
1,6,3,4,5,1,2,
1,6,3,4,5,2,1,
6,6,3,5,
2,6,3,5,1,2,4,
1,6,3,5,1,4,2,
1,6,3,5,2,1,
2,6,3,5,2,1,4,
2,6,3,5,4,2,1,
90,6,4,
8,6,4,1,
5,6,4,1,2,3,5,
1,6,4,1,2,5,3,
1,6,4,1,3,
1,6,4,1,3,5,2,
1,6,4,1,5,2,3,
1,6,4,1,5,3,2,
14,6,4,2,
1,6,4,2,3,
1,6,4,2,3,1,5,
1,6,4,2,5,1,3,
2,6,4,3,
1,6,4,3,1,
1,6,4,3,2,
1,6,4,3,2,5,1,
1,6,4,3,5,
2,6,4,3,5,1,2,
1,6,4,3,5,2,1,
5,6,4,5,
1,6,4,5,1,
1,6,4,5,2,
2,6,4,5,2,1,3,
8,6,4,5,3,2,1,
125,6,5,
16,6,5,1,
1,6,5,1,2,
9,6,5,1,2,3,4,
2,6,5,1,2,4,3,
1,6,5,1,3,2,4,
1,6,5,1,4,3,2,
6,6,5,2,
4,6,5,2,1,3,4,
1,6,5,2,3,1,4,
1,6,5,2,3,4,
2,6,5,2,4,1,3,
2,6,5,2,4,3,1,
8,6,5,3,
3,6,5,3,2,1,4,
11,6,5,4,
2,6,5,4,1,2,3,
2,6,5,4,2,1,3,
16,6,5,4,3,2,1,
Candidate 1,McCARTHY Stephen,None,
Candidate 2,WILLIS Nathan,None,
Candidate 3,HUSH Ian,None,
Candidate 4,KARAM Ray,None,
Candidate 5,MEEHAN Phil,None,
Candidate 6,POSSELT Steve,None,
NSW Local Government 2016 Ballina Shire Council - A Ward,
